"filename", "language", "JSON with Comments", "Markdown", "JavaScript JSX", "TypeScript", "JavaScript", "Dotenv", "TypeScript JSX", "PostCSS", "JSON", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Bot\Desktop\ToDonate\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Bot\Desktop\ToDonate\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\Bot\Desktop\ToDonate\frontend\jsconfig.json", "JSON with Comments", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Bot\Desktop\ToDonate\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 6005, 0, 0, 0, 1, 6006
"c:\Users\Bot\Desktop\ToDonate\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 1, 59
"c:\Users\Bot\Desktop\ToDonate\frontend\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Bot\Desktop\ToDonate\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Bot\Desktop\ToDonate\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 49
"c:\Users\Bot\Desktop\ToDonate\frontend\src\Layout.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 20
"c:\Users\Bot\Desktop\ToDonate\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\DonateModule.jsx", "JavaScript JSX", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 172
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\LoginBox.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\MenuItem.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\navbar.jsx", "JavaScript JSX", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 165
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 7, 65
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 6, 47
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 6, 61
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 10, 93
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 12, 183
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 13, 142
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 238, 0, 0, 0, 0, 0, 18, 256
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 256, 0, 0, 0, 0, 0, 19, 275
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 12, 169
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 11, 128
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 7, 47
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 14, 140
